epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,884.101,1.19475,9.05068,0.72224,1.05351,0.02235,14.1903,0.93629,0.91202,0.96818,0.74963,0.64253,0.41251,0.39143,0.1025,0.94842,5.57952,0.53796,0.41671,0.02198,0,0.00997396,0.00332465,0.00997396,0.00332465,0.00997396,0.00332465,0.00997396,0.00332465
2,1401.26,1.03907,5.91135,0.61913,0.62562,0.01902,6.63495,0.89657,0.88531,0.93962,0.6882,0.76685,0.5374,0.55187,0.25903,1.105,4.43804,0.33314,0.54294,0.02673,0,0.0197748,0.00659161,0.0197748,0.00659161,0.0197748,0.00659161,0.0197748,0.00659161
3,1887.74,1.1741,5.78661,0.51894,0.72218,0.02194,6.36566,0.64137,0.61694,0.65536,0.34249,0.32344,0.19434,0.12,0.03316,1.81235,7.09223,0.28652,1.32645,0.05006,0,0.0293763,0.00979209,0.0293763,0.00979209,0.0293763,0.00979209,0.0293763,0.00979209
4,2540.57,1.23996,5.5651,0.43715,0.78069,0.02355,6.01958,0.898,0.86402,0.93699,0.67212,0.79553,0.56289,0.58661,0.36587,1.12939,3.83223,0.16,0.603,0.02825,0,0.0291027,0.0097009,0.0291027,0.0097009,0.0291027,0.0097009,0.0291027,0.0097009
5,3069.53,1.17657,4.94581,0.38628,0.70571,0.02193,5.12615,0.91317,0.87256,0.93891,0.67398,0.83776,0.60936,0.6544,0.43747,1.15823,3.41842,0.12926,0.56263,0.02915,0,0.0288036,0.0096012,0.0288036,0.0096012,0.0288036,0.0096012,0.0288036,0.0096012
6,3533.93,1.12189,4.44597,0.35575,0.62149,0.02061,4.39603,0.94647,0.93004,0.97313,0.75029,0.79819,0.67186,0.70062,0.487,0.96664,2.96082,0.1102,0.37964,0.0236,0,0.0285045,0.0095015,0.0285045,0.0095015,0.0285045,0.0095015,0.0285045,0.0095015
7,3994.17,1.05524,4.13697,0.33151,0.57203,0.01915,3.98708,0.9343,0.93424,0.97266,0.77545,0.82331,0.71416,0.72898,0.54388,0.87115,2.62903,0.11098,0.39548,0.01991,0,0.0282054,0.0094018,0.0282054,0.0094018,0.0282054,0.0094018,0.0282054,0.0094018
8,4456.99,1.00427,3.8934,0.32294,0.55208,0.01819,3.69053,0.94592,0.94295,0.98178,0.79847,0.69005,0.62903,0.54075,0.36851,0.81792,3.31228,0.11723,0.33717,0.01903,0,0.0279063,0.0093021,0.0279063,0.0093021,0.0279063,0.0093021,0.0279063,0.0093021
9,4984.32,1.00862,3.78488,0.30842,0.54969,0.01825,3.56135,0.9424,0.96164,0.98469,0.81835,0.81435,0.75633,0.77204,0.59293,0.77263,2.3906,0.09717,0.31352,0.01766,0,0.0276072,0.0092024,0.0276072,0.0092024,0.0276072,0.0092024,0.0276072,0.0092024
10,5512.74,0.97626,3.56748,0.29831,0.5098,0.01753,3.19733,0.95482,0.95272,0.98418,0.81273,0.77698,0.74675,0.72804,0.56083,0.78102,2.47496,0.08307,0.3201,0.01845,0,0.0273081,0.0091027,0.0273081,0.0091027,0.0273081,0.0091027,0.0273081,0.0091027
11,6039.74,0.94808,3.46492,0.29355,0.4962,0.01701,3.08424,0.95983,0.954,0.9862,0.81855,0.81867,0.76638,0.76032,0.59046,0.75074,2.27906,0.09201,0.29069,0.01708,0,0.027009,0.009003,0.027009,0.009003,0.027009,0.009003,0.027009,0.009003
12,6580.02,0.94006,3.32872,0.28479,0.49196,0.01678,2.87376,0.95432,0.96292,0.98686,0.84131,0.84786,0.78552,0.83151,0.68024,0.72993,2.0817,0.08608,0.27718,0.01669,0,0.0267099,0.0089033,0.0267099,0.0089033,0.0267099,0.0089033,0.0267099,0.0089033
13,7222,0.92645,3.30924,0.28263,0.4746,0.01635,2.77156,0.96113,0.9611,0.98744,0.83874,0.84494,0.80553,0.82739,0.67205,0.71241,1.96853,0.09162,0.27989,0.0161,0,0.0264108,0.0088036,0.0264108,0.0088036,0.0264108,0.0088036,0.0264108,0.0088036
14,8077.58,0.92584,3.23955,0.27678,0.46709,0.01626,2.639,0.96142,0.96222,0.98501,0.84516,0.84912,0.804,0.82851,0.67673,0.69218,1.97257,0.07922,0.28057,0.01565,0,0.0261117,0.0087039,0.0261117,0.0087039,0.0261117,0.0087039,0.0261117,0.0087039
15,8935.59,0.89446,3.12613,0.27243,0.44901,0.01561,2.4292,0.96062,0.96712,0.98738,0.84979,0.85609,0.82401,0.833,0.68077,0.66515,1.85442,0.07549,0.271,0.01478,0,0.0258126,0.0086042,0.0258126,0.0086042,0.0258126,0.0086042,0.0258126,0.0086042
16,9756.27,0.89983,3.09466,0.26626,0.45878,0.01569,2.42622,0.96148,0.96388,0.98779,0.84689,0.83312,0.77928,0.78492,0.65711,0.6906,2.05692,0.07922,0.27024,0.01571,0,0.0255135,0.0085045,0.0255135,0.0085045,0.0255135,0.0085045,0.0255135,0.0085045
17,10603.8,0.86843,2.9342,0.26312,0.43902,0.01522,2.15049,0.96516,0.96742,0.98879,0.85317,0.86196,0.82523,0.84772,0.70479,0.67487,1.81772,0.0804,0.25435,0.01523,0,0.0252144,0.0084048,0.0252144,0.0084048,0.0252144,0.0084048,0.0252144,0.0084048
18,11464.2,0.88092,2.93433,0.26154,0.4354,0.01531,2.14152,0.96526,0.97005,0.98859,0.86044,0.85903,0.82704,0.83982,0.70139,0.64262,1.80998,0.07561,0.25215,0.01423,0,0.0249153,0.0083051,0.0249153,0.0083051,0.0249153,0.0083051,0.0249153,0.0083051
19,12328.2,0.87375,2.85656,0.26017,0.44442,0.01538,2.07852,0.96265,0.9661,0.98839,0.867,0.86761,0.82929,0.84999,0.717,0.63545,1.74033,0.07858,0.25551,0.01392,0,0.0246162,0.0082054,0.0246162,0.0082054,0.0246162,0.0082054,0.0246162,0.0082054
20,12856.1,0.85611,2.82681,0.25968,0.43445,0.01479,1.95025,0.9689,0.9686,0.98974,0.87266,0.87859,0.83573,0.86827,0.73162,0.62935,1.68533,0.07435,0.23709,0.01381,0,0.0243171,0.0081057,0.0243171,0.0081057,0.0243171,0.0081057,0.0243171,0.0081057
21,13317.7,0.84773,2.76638,0.25456,0.41112,0.01478,1.84002,0.96959,0.97108,0.98986,0.8808,0.88171,0.84363,0.87492,0.74776,0.61249,1.65096,0.07305,0.23227,0.01347,0,0.024018,0.008006,0.024018,0.008006,0.024018,0.008006,0.024018,0.008006
22,13782.7,0.83293,2.70593,0.2484,0.41263,0.01443,1.71521,0.97084,0.97426,0.99059,0.88187,0.87673,0.84835,0.8729,0.74411,0.6032,1.63284,0.07267,0.22101,0.0132,0,0.0237189,0.0079063,0.0237189,0.0079063,0.0237189,0.0079063,0.0237189,0.0079063
23,14249.2,0.83804,2.69268,0.25053,0.4082,0.0145,1.73052,0.96938,0.97082,0.98983,0.87984,0.88253,0.84733,0.87706,0.74744,0.59739,1.58951,0.07326,0.22995,0.01314,0,0.0234198,0.0078066,0.0234198,0.0078066,0.0234198,0.0078066,0.0234198,0.0078066
24,14717,0.8424,2.70596,0.25107,0.40558,0.01456,1.73069,0.97159,0.97199,0.99048,0.88964,0.87753,0.85816,0.88549,0.76349,0.58837,1.56506,0.07242,0.2232,0.0129,0,0.0231207,0.0077069,0.0231207,0.0077069,0.0231207,0.0077069,0.0231207,0.0077069
25,15188.7,0.83027,2.67506,0.24629,0.41633,0.01437,1.74377,0.96962,0.972,0.99061,0.8905,0.89335,0.86326,0.8936,0.76569,0.57741,1.5009,0.06988,0.23104,0.01259,0,0.0228216,0.0076072,0.0228216,0.0076072,0.0228216,0.0076072,0.0228216,0.0076072
26,15655.8,0.81982,2.59383,0.24484,0.40538,0.01411,1.46762,0.97045,0.96942,0.98997,0.88734,0.89718,0.85954,0.89324,0.76722,0.58611,1.47855,0.07493,0.23299,0.01285,0,0.0225225,0.0075075,0.0225225,0.0075075,0.0225225,0.0075075,0.0225225,0.0075075
27,16117.6,0.79773,2.47001,0.24348,0.39485,0.01398,1.42958,0.97284,0.97239,0.99037,0.89262,0.89553,0.87753,0.90409,0.77718,0.58098,1.46634,0.07191,0.21777,0.01267,0,0.0222234,0.0074078,0.0222234,0.0074078,0.0222234,0.0074078,0.0222234,0.0074078
